"Cód","Código de barras","Nome","Fornecedor","Fabricante","Preço Tabela","Replicação de preço","Custo","Resultado Financeiro","Markup","Estoque","Aliquota","Grupo linha","Sub grupo","Comissão Vendedor","Comissão Veterinário","CSOSN/CST","Status","Código de barras 2","Código de barras 3","Código de barras 4"
"162889","7890000162883","AL CAES PEDIGREE AD R PEQ KG","MEGA RIO","NAO INFORMADO","R$ 15,99","Ativo","R$ 8,12","R$ 7,87","96,9%","0","Subst. Tributaria","GRANEL","ALIMENTOS CAES","0.00","0.00","60","Ativo","","",""
"131752","7896029046746","AL CAES PEDIGREE AD RP CARNE PQ L18P15 18X100G","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 45,99","Ativo","R$ 29,70","R$ 16,29","54,8%","6","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"8052","7896029002025","AL CAES PEDIGREE AD RP CARNE SCH 100G L12P10","MEGA RIO","NAO INFORMADO","R$ 29,90","Ativo","R$ 1,79","R$ 28,11","1570,4%","0","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"592760","7896029046753","AL CAES PEDIGREE AD RP FRANGO PQ L18P15 18X100G","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 45,99","Ativo","R$ 29,70","R$ 16,29","54,8%","6","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"9603","7896029046050","AL CAES PEDIGREE AD RP FRANGO SCH 100G L12P10","MEGA RIO","NAO INFORMADO","R$ 29,90","Ativo","R$ 1,79","R$ 28,11","1570,4%","0","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"9400","7896029082027","AL CAES PEDIGREE AD. HIGH PROTEIN CAR E FRA 85GR","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 3,29","Ativo","R$ 1,96","R$ 1,33","67,9%","35","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"9402","7896029082034","AL CAES PEDIGREE AD. HIGH PROTEIN PORCO E CAR 85GR","OBOM PET E VETERINÁRIA LTDA - ILHA DE GUARATIBA","NAO INFORMADO","R$ 3,29","Ativo","R$ 1,89","R$ 1,40","74,1%","45","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","","",""
"2829","7896029015001","AL CAES PEDIGREE FIL CARNE AO MOLHO SCH 100G","MEGA RIO","NAO INFORMADO","R$ 3,09","Ativo","R$ 1,98","R$ 1,11","56,1%","67","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","7896029000908","",""
"2831","7896029022252","AL CAES PEDIGREE FIL FRANGO AO MOLHO SCH 100G","NACIONAL PET (MARS/MASTEFOOD)","NAO INFORMADO","R$ 3,09","Ativo","R$ 1,98","R$ 1,11","56,1%","64","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","7896029040591","",""
"3608","7896029079522","AL CAES PEDIGREE FIL PATE LT","01-OBOM Pet Agulhas Negras","NAO INFORMADO","R$ 11,49","Ativo","R$ 4,90","R$ 6,59","134,5%","33","Subst. Tributaria","PETISCOS, MOLHOS E PATES","UMIDO","0.00","0.00","60","Ativo","7896029067352","",""
